,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Num_of_Borrowers,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,Male,No,0,Graduate,No,5849,0.0,1,149.2970430107527,360.0,1.0,Urban,Y
1,Male,Yes,1,Graduate,No,4583,1508.0,2,128.0,360.0,1.0,Rural,N
2,Male,Yes,0,Graduate,Yes,3000,0.0,1,66.0,360.0,1.0,Urban,Y
3,Male,Yes,0,Not Graduate,No,2583,2358.0,2,120.0,360.0,1.0,Urban,Y
4,Male,No,0,Graduate,No,6000,0.0,1,141.0,360.0,1.0,Urban,Y
5,Male,Yes,2,Graduate,Yes,5417,4196.0,2,267.0,360.0,1.0,Urban,Y
6,Male,Yes,0,Not Graduate,No,2333,1516.0,2,95.0,360.0,1.0,Urban,Y
7,Male,Yes,3+,Graduate,No,3036,2504.0,2,158.0,360.0,0.0,Semiurban,N
8,Male,Yes,2,Graduate,No,4006,1526.0,2,168.0,360.0,1.0,Urban,Y
9,Male,Yes,1,Graduate,No,12841,10968.0,2,349.0,360.0,1.0,Semiurban,N
10,Male,Yes,2,Graduate,No,3200,700.0,2,70.0,360.0,1.0,Urban,Y
11,Male,Yes,2,Graduate,No,2500,1840.0,2,109.0,360.0,1.0,Urban,Y
12,Male,Yes,2,Graduate,No,3073,8106.0,2,200.0,360.0,1.0,Urban,Y
13,Male,No,0,Graduate,No,1853,2840.0,2,114.0,360.0,1.0,Rural,N
14,Male,Yes,2,Graduate,No,1299,1086.0,2,17.0,120.0,1.0,Urban,Y
15,Male,No,0,Graduate,No,4950,0.0,1,125.0,360.0,1.0,Urban,Y
16,Male,No,1,Not Graduate,No,3596,0.0,1,100.0,240.0,1.0,Urban,Y
17,Female,No,0,Graduate,No,3510,0.0,1,76.0,360.0,0.0,Urban,N
18,Male,Yes,0,Not Graduate,No,4887,0.0,1,133.0,360.0,1.0,Rural,N
19,Male,Yes,0,Graduate,No,2600,3500.0,2,115.0,60.0,1.0,Urban,Y
20,Male,Yes,0,Not Graduate,No,7660,0.0,1,104.0,360.0,0.0,Urban,N
21,Male,Yes,1,Graduate,No,5955,5625.0,2,315.0,360.0,1.0,Urban,Y
22,Male,Yes,0,Not Graduate,No,2600,1911.0,2,116.0,360.0,0.0,Semiurban,N
23,Male,Yes,2,Not Graduate,No,3365,1917.0,2,112.0,360.0,0.0,Rural,N
